Song,Measure,Week,Issue,File Path
What Home Is,listeners,20241101,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241101.csv
What Home Is,listeners,20241025,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241025.csv
What Home Is,listeners,20241018,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241018.csv
What Home Is,listeners,20241011,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241011.csv
What Home Is,listeners,20241004,Missing CSV,parsed csvs/listeners_by_city_1711474234_20241004.csv
What Home Is,listeners,20240927,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240927.csv
What Home Is,listeners,20240920,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240920.csv
What Home Is,listeners,20240913,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240913.csv
What Home Is,listeners,20240906,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240906.csv
What Home Is,listeners,20240830,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240830.csv
What Home Is,listeners,20240823,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240823.csv
What Home Is,listeners,20240816,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240816.csv
What Home Is,listeners,20240809,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240809.csv
What Home Is,listeners,20240802,Missing CSV,parsed csvs/listeners_by_city_1711474234_20240802.csv
